                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.90818,                 1.5355,                0.55003,                 1.1273,                0.91348,                0.94053,                0.97645,                0.76394,                  0.925,                0.92984,                0.97975,                0.72968,                0.83172,                 1.4083,                0.46299,                0.97612,              0.0012874,              0.0012874,              0.0012874
                     26,                0.90253,                 1.5279,                0.54125,                 1.1268,                0.91628,                0.93987,                0.97033,                0.75043,                0.91872,                0.94098,                0.97294,                0.72958,                0.84982,                 1.4546,                0.50294,                0.98786,              0.0012709,              0.0012709,              0.0012709
                     27,                0.88911,                 1.5122,                0.53403,                  1.116,                0.93166,                0.94321,                0.98071,                0.77038,                0.93398,                0.94766,                 0.9815,                0.74189,                0.85528,                 1.3641,                0.46384,                0.98502,              0.0012544,              0.0012544,              0.0012544
                     28,                 0.9042,                 1.5176,                0.54261,                 1.1277,                0.90208,                0.94383,                0.97232,                 0.7678,                0.90629,                0.94779,                0.97585,                0.75272,                0.81672,                 1.3852,                0.45586,                0.96481,              0.0012379,              0.0012379,              0.0012379
                     29,                0.89141,                 1.5422,                0.53868,                 1.1195,                 0.9275,                0.92539,                0.97692,                0.78027,                0.93197,                0.92984,                0.97864,                0.76342,                0.81102,                 1.3129,                0.44117,                0.95367,              0.0012214,              0.0012214,              0.0012214
                     30,                0.92252,                 1.5469,                0.54303,                 1.1383,                0.94547,                0.92428,                0.97901,                0.75304,                0.94198,                0.92984,                0.98034,                0.73739,                0.89282,                 1.4067,                0.45777,                 1.0044,              0.0012049,              0.0012049,              0.0012049
                     31,                0.88584,                 1.5069,                0.53876,                 1.1204,                 0.9179,                 0.9265,                0.97418,                0.76545,                  0.919,                0.92762,                0.97579,                0.73906,                0.83432,                 1.4163,                0.45289,                 0.9788,              0.0011884,              0.0011884,              0.0011884
                     32,                 0.8835,                  1.492,                0.53022,                 1.1176,                0.93364,                0.92094,                0.97555,                0.77274,                  0.939,                0.92316,                0.97568,                0.75129,                0.81037,                 1.3514,                0.45872,                0.95813,              0.0011719,              0.0011719,              0.0011719
                     33,                 0.8704,                 1.4815,                0.51819,                 1.1124,                0.94954,                0.92203,                0.97896,                 0.7642,                0.94839,                0.92092,                0.97847,                0.73233,                0.85154,                 1.3919,                0.44709,                0.98399,              0.0011554,              0.0011554,              0.0011554
                     34,                0.89651,                 1.4954,                0.53233,                 1.1246,                0.92026,                0.95105,                0.98034,                0.78063,                0.92408,                0.96236,                0.98381,                0.75883,                 0.7863,                   1.32,                0.42426,                0.93984,              0.0011389,              0.0011389,              0.0011389
                     35,                0.87332,                 1.5045,                0.51707,                 1.1139,                0.93828,                0.95323,                0.98385,                0.79356,                0.93938,                0.95434,                0.98491,                0.76532,                 0.7767,                 1.3351,                0.39512,                0.94003,              0.0011224,              0.0011224,              0.0011224
                     36,                0.86888,                 1.4766,                0.51159,                 1.1037,                0.91429,                0.96225,                0.98171,                0.77758,                0.91429,                0.96225,                0.98258,                0.75057,                0.80371,                 1.3293,                0.44178,                0.94793,              0.0011059,              0.0011059,              0.0011059
                     37,                0.86275,                 1.4813,                 0.5152,                  1.102,                0.92787,                0.94432,                0.97957,                0.78597,                0.92677,                0.94321,                0.97925,                 0.7521,                0.79467,                 1.3184,                0.41495,                0.94511,              0.0010894,              0.0010894,              0.0010894
                     38,                0.85226,                 1.4632,                0.50945,                  1.104,                0.95324,                 0.9265,                0.98193,                0.78818,                0.94866,                0.92984,                0.98212,                0.75426,                0.78508,                 1.3113,                0.41081,                0.94371,              0.0010729,              0.0010729,              0.0010729
                     39,                0.86102,                 1.4903,                 0.5036,                 1.1079,                0.95395,                0.92277,                0.98237,                0.79013,                0.95625,                  0.925,                0.98382,                0.75062,                0.77391,                  1.344,                0.41606,                 0.9318,              0.0010564,              0.0010564,              0.0010564
                     40,                0.84851,                 1.4526,                0.49759,                 1.0941,                0.93795,                0.94432,                0.98196,                0.79236,                 0.9349,                0.94347,                0.98058,                0.74384,                0.77178,                 1.3409,                0.40336,                0.92647,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.8419,                 1.4438,                0.48754,                 1.0918,                 0.9149,                0.96659,                0.98258,                0.79424,                  0.917,                0.96882,                 0.9846,                0.76668,                0.77137,                 1.2949,                0.42438,                0.93286,              0.0010234,              0.0010234,              0.0010234
                     42,                 0.8577,                 1.4709,                0.49594,                 1.0984,                0.94371,                0.93351,                0.98174,                0.79185,                0.94395,                0.93766,                0.98365,                0.77013,                0.78914,                  1.315,                0.41028,                0.94144,              0.0010069,              0.0010069,              0.0010069
                     43,                0.82861,                 1.4395,                0.48705,                 1.0935,                0.93114,                0.94872,                0.98283,                0.79403,                0.92682,                0.95657,                0.98272,                0.76471,                0.77929,                 1.2938,                0.41696,                0.93267,             0.00099036,             0.00099036,             0.00099036
